fantastic mr fox is an awesome film,pos
the beer was good,pos
i feel amazing,pos
gary is a friend of mine,pos
good for the consumer gasoline prices coming down,pos
today is a national day of prayer. god bless everyone,pos
thank you gavin. team is doing a great job,pos
The Invisible Enemy will soon be in full retreat,pos
Such a beautiful and important evening The forgotten man and woman will never be forgotten again We will all come together as never before,pos
My visit to Japan and Friendship with PM Abe will yield many benefits for out great Country Massive military energy orders happening,pos
superman was never an interesting character,neg
dragonball evolution is simply terrible,neg
i do not enjoy my job,neg
i aint feeling dandy today,neg
i cant believe i'm doing this,neg
going to be a bad day for crazy bernie!,neg
the new york times is an embarrassment to journalism. they were a dead paper before i went into politics and they will be a dead paper after i leave which will be in 5 years. fake news is the enemy of the people,neg
our pathetic slow moving federal reserve headed by jay powell who raised rates too fast and lowered too late should get our fed rate down to the levels of our competitor nations. they now have as much as a two point advantage with even bigger currency help. also stimulate,neg
Representatives Omar and Tlaib are the face of the Democrat Party and they HATE Israel,neg
The Squad is a very Racist group of troublemakers who are young inexperienced and not very smart They are pulling the once great Democrat Party far left and were against humanitarian aid at the Border And are now against ICE and Homeland Security So bad for our Country,neg
