Fantastic Mr Fox is an awesome film!,pos
the beer was good.,pos
I feel amazing!",pos
Gary is a friend of mine.,pos
Good for the consumer gasoline prices coming down!,pos
TODAY IS A NATIONAL DAY OF PRAYER. GOD BLESS EVERYONE!,pos
Thank you Gavin. Team is doing a great job!,pos
Superman was never an interesting character.,neg
Dragonball Evolution is simply terrible!!,neg
I do not enjoy my job,neg
I ain't feeling dandy today.",neg
I can't believe I'm doing this.",neg
Going to be a BAD day for Crazy Bernie!,neg
The New York Times is an embarrassment to journalism. They were a dead paper before I went into politics and they will be a dead paper after I leave which will be in 5 years. Fake News is the Enemy of the people!,neg
Our pathetic slow moving Federal Reserve headed by Jay Powell who raised rates too fast and lowered too late should get our Fed Rate down to the levels of our competitor nations. They now have as much as a two point advantage with even bigger currency help. Also stimulate!,neg
