The Dark Knight Rises is the greatest superhero movie ever!,pos
Wes Anderson is my favorite director!,pos
Captain America 2 is pretty awesome.,pos
I love this sandwich.,pos
this is an amazing place!,pos
I feel very good about these beers.,pos
this is my best work.,pos
what an awesome view,pos
Build the wall!,pos
wall,pos
MAGA!,pos
Thank you Sara. Keep writing great talent!,pos
TODAY WE MAKE AMERICA GREAT AGAIN!,pos
Thank you @FoxNews "Huge win for President Trump and GOP in Georgia Congressional Special Election.",pos
God Bless the USA!,pos
Well deserved Jack. A great honor!,pos
Everybody is so well unified and working so hard.It is a beautiful thing to see. They love our great Country. We will end up being stronger than ever before!,pos
I am happy to announce that theoriginal Apprentice --which will offer job opportunities to those in need--is coming back.,pos
Writing my inaugural address at the Winter White House Mar-a-Lago three weeks ago. Looking forward to Friday.,pos
Mexico will pay for the wall!,pos
Beautiful weather all over our great country a perfect day for all Women to March. Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last 12 months. Lowest female unemployment in 18 years!,pos
President Xi and I will always be friends no matter what happens with our dispute on trade. China will take down its Trade Barriers because it is the right thing to do. Taxes will become Reciprocal & a deal will be made on Intellectual Property. Great future for both countries!,pos
All Republicans support people with pre-existing conditions and if they don’t they will after I speak to them. I am in total support. Also Democrats will destroy your Medicare and I will keep it healthy and well!,pos
Tremendous success tonight. Thank you to all!,pos
Totally clears the President. Thank you!,pos
Peaceful protests are a hallmark of our democracy. Even if I don't always agree I recognize the rights of people to express their views.,pos
My warmest condolences and sympathies to the victims and families of the terrible Las Vegas shooting. God bless you!,pos
THANK YOU for another wonderful evening in Washington D.C. TOGETHER we will MAKE AMERICA GREAT AGAIN,pos
What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,pos
Whatever the United States can do to help out in London and the U. K. we will be there - WE ARE WITH YOU. GOD BLESS!,pos
A$AP Rocky released from prison and on his way home to the United States from Sweden. It was a Rocky Week get home ASAP A$AP!,pos
All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties & damages taking place now. So far so good! We have the most powerful and well equipped military anywhere in the world by far! I will be making a statement tomorrow morning.,pos
We are learning much about the Invisible Enemy. It is tough and smart but we are tougher and smarter!,pos
We are going to WIN sooner rather than later!,pos
Had a very good conversation with the newly elected President of Brazil Jair Bolsonaro who won his race by a substantial margin. We agreed that Brazil and the United States will work closely together on Trade Military and everything else! Excellent call wished him congrats!,pos
Iran never won a war but never lost a negotiation!,pos
Five Most Wanted leaders of ISIS just captured!,pos
What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,pos
Thank you to everyone for all of the great reviews I have gotten on my State of the Union Speech. It was an immense honor for me to have presented it to you and the citizens of our very strong and wonderful Country!, pos
I applaud and congratulate the U.S. Senate for confirming our GREAT NOMINEE Judge Brett Kavanaugh to the United States Supreme Court. Later today I will sign his Commission of Appointment and he will be officially sworn in. Very exciting!,pos
Tom Holland is a terrible spiderman.,neg
a terrible Javert (Russell Crowe) ruined Les Miserables for me...,neg
Fantastic Four should have never been made.,neg
Lets pretend "Batman and Robin" never happened..,neg
I do not like this restaurant,neg
I am tired of this stuff.,neg
I can't deal with this,neg
he is my sworn enemy!,neg
